tp,sl,rr,floor,trades,win_rate,total_return_pct,expectancy_atr,profit_factor,pf_raw
3.0,1.5,2.0,0.55,0,0.0,0.0,0.0,,
3.0,1.5,2.0,0.6,0,0.0,0.0,0.0,,
3.0,2.0,1.5,0.35,288,0.375,-115.049,-0.8774,0.61,0.6101319002549888
3.0,2.0,1.5,0.4,137,0.4088,-48.972,-0.9097,0.631,0.6310794813703096
3.0,2.0,1.5,0.45,51,0.451,-14.27,-0.6562,0.714,0.7141207721566459
3.0,2.0,1.5,0.5,6,0.3333,-3.067,-1.4688,0.559,0.5587970912954967
3.0,2.0,1.5,0.55,0,0.0,0.0,0.0,,
3.0,2.0,1.5,0.6,0,0.0,0.0,0.0,,
4.0,1.0,4.0,0.35,11,0.3636,-2.281,-0.0223,0.749,0.7491384255907096
4.0,1.0,4.0,0.4,1,0.0,-1.298,-1.7158,,0.0
4.0,1.0,4.0,0.45,0,0.0,0.0,0.0,,
4.0,1.0,4.0,0.5,0,0.0,0.0,0.0,,
4.0,1.0,4.0,0.55,0,0.0,0.0,0.0,,
4.0,1.0,4.0,0.6,0,0.0,0.0,0.0,,
4.0,1.5,2.67,0.35,11,0.5455,0.643,-0.1753,1.077,1.0774477637742752
4.0,1.5,2.67,0.4,1,0.0,-1.107,-1.4641,,0.0
4.0,1.5,2.67,0.45,0,0.0,0.0,0.0,,
4.0,1.5,2.67,0.5,0,0.0,0.0,0.0,,
4.0,1.5,2.67,0.55,0,0.0,0.0,0.0,,
4.0,1.5,2.67,0.6,0,0.0,0.0,0.0,,
4.0,2.0,2.0,0.35,211,0.3839,-86.069,-0.9009,0.589,0.5891781323963228
4.0,2.0,2.0,0.4,82,0.4634,-13.258,-0.4252,0.798,0.7976530869832459
4.0,2.0,2.0,0.45,14,0.5,1.413,0.1378,1.141,1.1412836719452808
4.0,2.0,2.0,0.5,1,0.0,-1.107,-1.4641,,0.0
4.0,2.0,2.0,0.55,0,0.0,0.0,0.0,,
4.0,2.0,2.0,0.6,0,0.0,0.0,0.0,,
